City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Atherton,GB,53.5237,-2.4935,81.45,42,25,1.99,scattered clouds
233,Kushiro,JP,42.975,144.3747,68.88,99,100,3.27,light rain
234,Norman Wells,CA,65.282,-126.8329,64.24,47,100,2.98,overcast clouds
235,Dudinka,RU,69.4058,86.1778,51.89,68,21,6.64,few clouds
236,Guarapari,BR,-20.6667,-40.4975,76.89,74,79,6.64,broken clouds
237,Te Anau,NZ,-45.4167,167.7167,26.71,92,31,0.36,scattered clouds
238,Nishihara,JP,26.1842,127.7558,83.48,79,20,5.75,few clouds
239,Xai-Xai,MZ,-25.0519,33.6442,66.56,82,5,6.29,clear sky
240,Coyhaique,CL,-45.5752,-72.0662,51.75,54,75,8.05,broken clouds
241,Roald,NO,62.5833,6.1333,65.75,72,75,12.66,light rain
242,Haines Junction,CA,60.7522,-137.5108,50.65,62,99,4.7,overcast clouds
243,Waingapu,ID,-9.6567,120.2641,76.15,85,78,7.78,broken clouds
244,Oliveira,BR,-20.6964,-44.8272,81.0,33,65,8.14,broken clouds
245,Anloga,GH,5.7947,0.8973,76.19,79,96,14.25,overcast clouds
246,Kieta,PG,-6.2167,155.6333,77.97,81,97,1.86,overcast clouds
247,Lüderitz,NA,-26.6481,15.1594,58.95,73,0,10.83,clear sky
248,Burnie,AU,-41.0667,145.9167,43.92,92,9,9.62,clear sky
249,Tutin,RS,42.9903,20.3314,65.55,87,77,2.15,broken clouds
250,Atar,MR,20.5169,-13.0499,111.42,5,82,21.14,broken clouds
251,Pushkar,IN,26.5,74.55,86.07,67,68,6.04,broken clouds
252,Puerto del Rosario,ES,28.5004,-13.8627,78.55,65,20,19.57,few clouds
253,Clyde River,CA,70.4692,-68.5914,43.16,71,26,17.4,scattered clouds
254,Plouzané,FR,48.3833,-4.6167,77.05,56,0,20.71,clear sky
255,Bambous Virieux,MU,-20.3428,57.7575,68.22,69,91,20.49,overcast clouds
256,Gazli,UZ,40.1333,63.45,87.66,17,1,16.44,clear sky
257,Hereford,GB,52.0568,-2.7148,86.05,40,46,5.14,scattered clouds
258,Dingle,PH,10.9995,122.6711,75.61,93,96,1.39,overcast clouds
259,Beloha,MG,-25.1667,45.05,66.96,81,0,14.45,clear sky
260,Dustlik,UZ,40.5247,68.0358,77.77,20,97,4.03,overcast clouds
261,Arlit,NE,18.7369,7.3853,101.59,21,56,0.49,broken clouds
262,Algeciras,ES,36.1333,-5.4505,80.28,78,75,9.22,broken clouds
263,San Quintín,MX,30.4833,-115.95,76.48,68,20,7.45,few clouds
264,The Valley,AI,18.217,-63.0578,87.1,76,99,17.52,overcast clouds
265,La Romana,DO,18.4273,-68.9728,89.96,62,40,17.27,scattered clouds
266,Hong Kong,HK,22.2855,114.1577,81.25,94,100,11.99,moderate rain
267,Nefteyugansk,RU,61.0998,72.6035,67.26,72,57,8.99,light rain
268,Bishop Auckland,GB,54.6555,-1.6771,81.09,43,44,1.99,scattered clouds
269,Mabaruma,GY,8.2,-59.7833,91.17,53,84,4.72,broken clouds
270,Egvekinot,RU,66.3167,-179.1667,43.09,61,94,4.81,overcast clouds
271,Lancaster,US,40.2504,-76.2499,93.7,61,75,11.5,broken clouds
272,Champerico,GT,14.3,-91.9167,83.82,74,99,5.1,overcast clouds
273,Tūkrah,LY,32.5341,20.5791,82.87,67,0,9.46,clear sky
274,Caravelas,BR,-17.7125,-39.2481,79.97,55,10,8.57,clear sky
275,Pacific Grove,US,36.6177,-121.9166,72.39,77,0,8.05,clear sky
276,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,18,5.75,few clouds
277,Padang,ID,-0.9492,100.3543,77.22,86,70,3.24,broken clouds
278,Marrakesh,MA,31.6315,-8.0083,96.87,30,0,4.61,clear sky
279,Walvis Bay,NA,-22.9575,14.5053,55.09,74,10,13.87,clear sky
280,Mossamedes,AO,-15.1961,12.1522,66.02,85,34,7.52,scattered clouds
281,Demirci,TR,39.0461,28.6589,70.2,63,46,7.58,scattered clouds
282,South Lake Tahoe,US,38.9332,-119.9844,75.31,48,0,11.5,clear sky
283,Banda Aceh,ID,5.5577,95.3222,80.02,83,98,13.94,overcast clouds
284,Panguipulli,CL,-39.6333,-72.3333,53.92,48,100,1.54,overcast clouds
285,Kota Belud,MY,6.351,116.4305,77.99,83,93,3.04,overcast clouds
286,Batagay-Alyta,RU,67.8006,130.4114,51.49,81,12,3.2,few clouds
287,Road Town,VG,18.4167,-64.6167,89.69,74,40,9.22,scattered clouds
288,Manali,IN,13.1667,80.2667,90.07,62,100,16.42,overcast clouds
289,Suntar,RU,62.1444,117.6319,54.82,97,93,5.21,overcast clouds
290,Harper,LR,4.375,-7.7169,77.52,69,51,10.16,broken clouds
291,Esil,KZ,51.9556,66.4042,65.52,63,53,11.52,broken clouds
292,Portland,US,45.5234,-122.6762,71.91,74,75,6.91,broken clouds
293,Semnan,IR,35.5729,53.3971,82.0,49,19,11.7,few clouds
294,Saint-Joseph,RE,-21.3667,55.6167,66.58,72,70,17.65,broken clouds
295,Ambilobe,MG,-13.2,49.05,70.81,75,34,5.7,scattered clouds
296,Innisfail,AU,-17.5333,146.0333,63.75,72,55,3.65,broken clouds
297,Alice Springs,AU,-23.7,133.8833,65.75,18,75,10.36,broken clouds
298,Kazygurt,KZ,41.7589,69.3864,78.84,20,100,5.35,overcast clouds
299,Mackenzie,CA,55.2999,-123.1698,68.43,32,6,2.24,clear sky
300,Río Gallegos,AR,-51.6226,-69.2181,48.25,66,0,8.95,clear sky
301,Port Lincoln,AU,-34.7333,135.8667,53.24,77,100,23.35,moderate rain
302,Puerto Suárez,BO,-18.95,-57.8,61.36,82,75,10.36,light rain
303,Vao,NC,-22.6667,167.4833,67.42,57,23,13.89,few clouds
304,Langarūd,IR,37.197,50.1535,73.45,84,88,4.5,light rain
305,Dunedin,NZ,-45.8742,170.5036,35.8,62,6,5.41,clear sky
306,Kruisfontein,ZA,-34.0033,24.7314,65.88,58,55,2.57,broken clouds
307,Polis,CY,35.0367,32.4264,82.22,73,0,8.21,clear sky
308,Dunga Bunga,PK,29.7493,73.2432,92.53,56,92,4.29,overcast clouds
309,Labuhan,ID,-6.8844,112.2051,76.55,86,41,8.43,scattered clouds
310,Lerwick,GB,60.1545,-1.1494,59.0,86,100,24.2,overcast clouds
311,Kitgum,UG,3.2783,32.8867,70.72,82,100,4.21,light rain
312,Buala,SB,-8.145,159.5921,79.23,80,75,3.8,broken clouds
313,Santa Luzia,BR,-19.7697,-43.8514,83.3,28,78,2.55,broken clouds
314,Bonavista,CA,48.6499,-53.1147,55.2,89,100,14.63,moderate rain
315,Lebanon,US,36.2081,-86.2911,89.65,67,20,12.66,few clouds
316,Inírida,CO,3.8653,-67.9239,89.44,58,93,1.5,overcast clouds
317,Souillac,MU,-20.5167,57.5167,69.01,70,98,18.52,overcast clouds
318,Ponta do Sol,PT,32.6667,-17.1,75.83,74,24,4.54,few clouds
319,Rørvik,NO,64.8621,11.2373,57.31,100,75,10.36,broken clouds
320,Los Llanos de Aridane,ES,28.6585,-17.9182,73.15,69,0,9.22,clear sky
321,Port Elizabeth,ZA,-33.918,25.5701,68.09,60,44,5.61,scattered clouds
322,Grevesmühlen,DE,53.8667,11.1833,72.28,63,60,9.66,broken clouds
323,Quatre Cocos,MU,-20.2078,57.7625,68.09,69,83,21.14,broken clouds
324,Asău,RO,46.4333,26.4,72.52,85,55,6.53,broken clouds
325,Talcahuano,CL,-36.7167,-73.1167,56.88,62,0,10.36,clear sky
326,Tacuarembó,UY,-31.7333,-55.9833,55.08,72,100,12.77,overcast clouds
327,Porto Santo,PT,33.072,-16.3415,75.58,64,20,16.11,few clouds
328,Chichigalpa,NI,12.5776,-87.027,89.98,51,65,3.78,broken clouds
329,Adrar,MR,20.5022,-10.0711,110.12,6,42,19.1,scattered clouds
330,San Cristobal,VE,7.7669,-72.225,86.18,38,28,8.3,scattered clouds
331,Suşehri,TR,40.1644,38.0867,71.78,74,17,6.13,few clouds
332,Lavrentiya,RU,65.5833,-171.0,42.21,77,99,8.84,overcast clouds
333,Ponta Delgada,PT,37.7333,-25.6667,74.12,78,75,5.75,broken clouds
334,Pimentel,PE,-6.8367,-79.9342,70.09,60,0,12.66,clear sky
335,Arrondissement d'Ajaccio,FR,42.0,8.9167,82.45,58,21,10.36,few clouds
336,Chabahar,IR,25.2919,60.643,82.9,81,40,4.03,scattered clouds
337,Santa Fe,AR,-31.6333,-60.7,60.03,76,59,5.01,light rain
338,Fare,PF,-16.7,-151.0167,75.99,67,100,7.16,overcast clouds
339,Mayumba,GA,-3.432,10.6554,72.23,81,6,8.19,clear sky
340,San Patricio,US,28.017,-97.5169,93.15,45,56,10.0,broken clouds
341,Luocheng,CN,29.3848,104.0286,76.71,96,95,3.78,overcast clouds
342,Margate,GB,51.3813,1.3862,73.31,78,83,5.99,broken clouds
343,Marevo,RU,57.3146,32.0804,59.77,81,35,3.22,scattered clouds
